Nome_Cliente,Data_Pedido,Data_Devolucao,Cod_Filme
FURUEZ,3/5/2013,6/5/2013,10491
THEONG,4/30/13,3/5/2013,10492
THEXON,3/5/2013,6/5/2013,10493
GROIRA,4/24/13,4/27/13,10494
PARAND,7/5/2013,10/5/2013,10495
HANTES,4/5/2013,7/5/2013,10496
BOLMER,1/5/2013,4/5/2013,10497
WILNEN,7/5/2013,10/5/2013,10498
REGONI,4/28/13,1/5/2013,10499
RICOLZ,4/29/13,2/5/2013,10500
TORINO,4/27/13,4/30/13,10501
VAFSEN,3/5/2013,6/5/2013,10502
FRARTI,4/26/13,4/29/13,10503
SUPAIN,2/5/2013,5/5/2013,10504
CACSON,6/5/2013,9/5/2013,10505
VINIOT,4/24/13,4/27/13,10506
COMNSO,4/24/13,4/27/13,10507
FRAKEN,4/28/13,1/5/2013,10508
KOEMER,6/5/2013,9/5/2013,10509
WARALO,4/28/13,1/5/2013,10510
OLDIPS,2/5/2013,5/5/2013,10511
ERNDEL,4/23/13,4/26/13,10512
RANREZ,5/5/2013,8/5/2013,10513
NORHER,3/5/2013,6/5/2013,10514
DRAIEB,4/5/2013,7/5/2013,10515
ARORDY,1/5/2013,4/5/2013,10516
CHOANG,4/29/13,2/5/2013,10517
HUNMER,4/26/13,4/29/13,10518
LAUURI,4/24/13,4/27/13,10519
WOLICZ,4/26/13,4/29/13,10520
ROMINO,4/27/13,4/30/13,10521
ANALLO,4/29/13,2/5/2013,10522
TRAUES,4/5/2013,7/5/2013,10523
LAMLET,4/24/13,4/27/13,10524
FAMRUZ,7/5/2013,10/5/2013,10525
FRAITT,4/27/13,4/30/13,10526
MAIWEY,7/5/2013,10/5/2013,10527
BERUND,6/5/2013,9/5/2013,10528
CONOWN,4/28/13,1/5/2013,10529
BOTOLN,2/5/2013,5/5/2013,10530
BLAOOS,3/5/2013,6/5/2013,10531
ISLETT,7/5/2013,10/5/2013,10532
PRITRO,5/5/2013,8/5/2013,10533
RICIRA,7/5/2013,10/5/2013,10534
DUMUNE,3/5/2013,6/5/2013,10535
TOMPHS,3/5/2013,6/5/2013,10536
BONHAN,5/5/2013,8/5/2013,10537
QUELHO,4/5/2013,7/5/2013,10538
ALFERS,4/5/2013,7/5/2013,10539
FOLSON,2/5/2013,5/5/2013,10540
FOLNCE,4/30/13,3/5/2013,10541
VICLEY,4/25/13,4/28/13,10542
HUNNNA,2/5/2013,5/5/2013,10543
WELNTE,4/25/13,4/28/13,10544
RATSON,4/29/13,2/5/2013,10545
LEHNER,1/5/2013,4/5/2013,10546
WANLER,4/26/13,4/29/13,10547
BSBRTH,4/5/2013,7/5/2013,10548
OCEADA,7/5/2013,10/5/2013,10549
MORUER,4/25/13,4/28/13,10550
GOUECA,5/5/2013,8/5/2013,10551
EASVON,7/5/2013,10/5/2013,10552
ANTENO,3/5/2013,6/5/2013,10553
SPLGER,4/29/13,2/5/2013,10554
QUESTA,4/28/13,1/5/2013,10555
LILLEZ,3/5/2013,6/5/2013,10556
HILDEZ,3/5/2013,6/5/2013,10557
LACINI,4/30/13,3/5/2013,10558
FISOEL,4/23/13,4/26/13,10559
SPEIER,3/5/2013,6/5/2013,10560
GALDRA,4/23/13,4/26/13,10561
LINRDO,4/24/13,4/27/13,10562
LONSON,4/24/13,4/27/13,10563
CENANG,4/5/2013,7/5/2013,10564
BLOAUX,2/5/2013,5/5/2013,10565
PICPPS,3/5/2013,6/5/2013,10566
MAGLLI,6/5/2013,9/5/2013,10567
PERDEZ,4/27/13,4/30/13,10568
SEVMAR,4/29/13,2/5/2013,10569
TRAAGY,4/26/13,4/29/13,10570
OTTEIM,4/5/2013,7/5/2013,10571
QUIOSS,4/26/13,4/29/13,10572
GREDER,4/5/2013,7/5/2013,10573
LETRES,6/5/2013,9/5/2013,10574
MERERE,6/5/2013,9/5/2013,10575
LAZEEL,1/5/2013,4/5/2013,10576
SANSEN,4/30/13,3/5/2013,10577
SAVTTI,2/5/2013,5/5/2013,10578
GODYRE,4/29/13,2/5/2013,10579
SIMSEN,4/23/13,4/26/13,10580
WHISKI,5/5/2013,8/5/2013,10581
FURUEZ,7/5/2013,10/5/2013,10582
THEONG,4/23/13,4/26/13,10583
THEXON,4/23/13,4/26/13,10584
GROIRA,5/5/2013,8/5/2013,10585
PARAND,4/5/2013,7/5/2013,10586
HANTES,5/5/2013,8/5/2013,10587
BOLMER,4/27/13,4/30/13,10588
WILNEN,1/5/2013,4/5/2013,10589
REGONI,7/5/2013,10/5/2013,10590
RICOLZ,4/29/13,2/5/2013,10591
TORINO,6/5/2013,9/5/2013,10592
VAFSEN,4/5/2013,7/5/2013,10593
FRARTI,4/25/13,4/28/13,10594
SUPAIN,4/25/13,4/28/13,10595
CACSON,1/5/2013,4/5/2013,10596
VINIOT,4/27/13,4/30/13,10597
COMNSO,4/24/13,4/27/13,10598
FRAKEN,4/25/13,4/28/13,10599
KOEMER,6/5/2013,9/5/2013,10600
WARALO,1/5/2013,4/5/2013,10601
OLDIPS,4/24/13,4/27/13,10602
ERNDEL,4/26/13,4/29/13,10603
RANREZ,3/5/2013,6/5/2013,10604
NORHER,4/25/13,4/28/13,10605
DRAIEB,4/24/13,4/27/13,10606
ARORDY,4/30/13,3/5/2013,10607
CHOANG,4/28/13,1/5/2013,10608
HUNMER,4/30/13,3/5/2013,10609
LAUURI,4/25/13,4/28/13,10610
WOLICZ,4/5/2013,7/5/2013,10611
ROMINO,4/25/13,4/28/13,10612
ANALLO,6/5/2013,9/5/2013,10613
TRAUES,4/24/13,4/27/13,10614
LAMLET,7/5/2013,10/5/2013,10615
FAMRUZ,4/5/2013,7/5/2013,10616
FRAITT,4/23/13,4/26/13,10617
MAIWEY,7/5/2013,10/5/2013,10618
BERUND,4/27/13,4/30/13,10619
CONOWN,2/5/2013,5/5/2013,10620
BOTOLN,7/5/2013,10/5/2013,10621
BLAOOS,1/5/2013,4/5/2013,10622
ISLETT,5/5/2013,8/5/2013,10623
PRITRO,4/28/13,1/5/2013,10624
RICIRA,4/28/13,1/5/2013,10625
DUMUNE,3/5/2013,6/5/2013,10626
TOMPHS,4/30/13,3/5/2013,10627
BONHAN,5/5/2013,8/5/2013,10628
QUELHO,1/5/2013,4/5/2013,10629
ALFERS,4/26/13,4/29/13,10630
FOLSON,4/26/13,4/29/13,10631
FOLNCE,6/5/2013,9/5/2013,10632
VICLEY,4/29/13,2/5/2013,10633
HUNNNA,4/25/13,4/28/13,10634
WELNTE,4/29/13,2/5/2013,10635
RATSON,7/5/2013,10/5/2013,10636
LEHNER,4/23/13,4/26/13,10637
WANLER,4/26/13,4/29/13,10638
BSBRTH,6/5/2013,9/5/2013,10639
OCEADA,4/28/13,1/5/2013,10640
MORUER,4/5/2013,7/5/2013,10641
GOUECA,7/5/2013,10/5/2013,10642
EASVON,4/24/13,4/27/13,10643
ANTENO,5/5/2013,8/5/2013,10644
SPLGER,7/5/2013,10/5/2013,10645
QUESTA,6/5/2013,9/5/2013,10646
LILLEZ,4/27/13,4/30/13,10647
HILDEZ,4/5/2013,7/5/2013,10648
LACINI,5/5/2013,8/5/2013,10649
FISOEL,4/5/2013,7/5/2013,10650
SPEIER,4/5/2013,7/5/2013,10651
GALDRA,4/28/13,1/5/2013,10652
LINRDO,4/5/2013,7/5/2013,10653
LONSON,6/5/2013,9/5/2013,10654
CENANG,6/5/2013,9/5/2013,10655
BLOAUX,7/5/2013,10/5/2013,10656
PICPPS,4/25/13,4/28/13,10657
MAGLLI,4/23/13,4/26/13,10658
PERDEZ,6/5/2013,9/5/2013,10659
SEVMAR,4/26/13,4/29/13,10660
TRAAGY,4/23/13,4/26/13,10661
OTTEIM,4/24/13,4/27/13,10662
QUIOSS,4/5/2013,7/5/2013,10663
GREDER,6/5/2013,9/5/2013,10664
LETRES,7/5/2013,10/5/2013,10665
MERERE,4/24/13,4/27/13,10666
LAZEEL,7/5/2013,10/5/2013,10667
SANSEN,4/28/13,1/5/2013,10668
SAVTTI,7/5/2013,10/5/2013,10669
GODYRE,4/29/13,2/5/2013,10670
SIMSEN,4/23/13,4/26/13,10671
WHISKI,5/5/2013,8/5/2013,10672
FURUEZ,4/28/13,1/5/2013,10673
THEONG,6/5/2013,9/5/2013,10674
THEXON,4/28/13,1/5/2013,10675
GROIRA,4/23/13,4/26/13,10676
PARAND,2/5/2013,5/5/2013,10677
HANTES,2/5/2013,5/5/2013,10678
BOLMER,7/5/2013,10/5/2013,10679
WILNEN,4/28/13,1/5/2013,10680
REGONI,4/30/13,3/5/2013,10681
RICOLZ,4/26/13,4/29/13,10682
TORINO,4/24/13,4/27/13,10683
VAFSEN,4/25/13,4/28/13,10684
FRARTI,4/24/13,4/27/13,10685
SUPAIN,7/5/2013,10/5/2013,10686
CACSON,4/5/2013,7/5/2013,10687
VINIOT,5/5/2013,8/5/2013,10688
COMNSO,4/30/13,3/5/2013,10689
FRAKEN,4/28/13,1/5/2013,10690
KOEMER,5/5/2013,8/5/2013,10691
WARALO,4/26/13,4/29/13,10692
OLDIPS,5/5/2013,8/5/2013,10693
ERNDEL,5/5/2013,8/5/2013,10694
RANREZ,5/5/2013,8/5/2013,10695
NORHER,4/29/13,2/5/2013,10696
DRAIEB,4/24/13,4/27/13,10697
ARORDY,2/5/2013,5/5/2013,10698
CHOANG,6/5/2013,9/5/2013,10699
HUNMER,1/5/2013,4/5/2013,10700
LAUURI,4/26/13,4/29/13,10701
WOLICZ,2/5/2013,5/5/2013,10702
ROMINO,4/5/2013,7/5/2013,10703
ANALLO,6/5/2013,9/5/2013,10704
TRAUES,2/5/2013,5/5/2013,10705
LAMLET,2/5/2013,5/5/2013,10706
FAMRUZ,4/24/13,4/27/13,10707
FRAITT,4/29/13,2/5/2013,10708
MAIWEY,6/5/2013,9/5/2013,10709
BERUND,4/26/13,4/29/13,10710
CONOWN,1/5/2013,4/5/2013,10711
BOTOLN,4/27/13,4/30/13,10712
BLAOOS,4/30/13,3/5/2013,10713
ISLETT,2/5/2013,5/5/2013,10714
PRITRO,3/5/2013,6/5/2013,10715
RICIRA,4/5/2013,7/5/2013,10716
DUMUNE,6/5/2013,9/5/2013,10717
TOMPHS,4/28/13,1/5/2013,10718
BONHAN,2/5/2013,5/5/2013,10719
QUELHO,4/5/2013,7/5/2013,10720
ALFERS,1/5/2013,4/5/2013,10721
FOLSON,2/5/2013,5/5/2013,10722
FOLNCE,4/27/13,4/30/13,10723
VICLEY,7/5/2013,10/5/2013,10724
HUNNNA,4/27/13,4/30/13,10725
WELNTE,5/5/2013,8/5/2013,10726
RATSON,3/5/2013,6/5/2013,10727
LEHNER,4/24/13,4/27/13,10728
WANLER,4/28/13,1/5/2013,10729
BSBRTH,4/5/2013,7/5/2013,10730
OCEADA,6/5/2013,9/5/2013,10731
MORUER,4/23/13,4/26/13,10732
GOUECA,4/24/13,4/27/13,10733
EASVON,3/5/2013,6/5/2013,10734
ANTENO,2/5/2013,5/5/2013,10735
SPLGER,4/24/13,4/27/13,10736
QUESTA,4/27/13,4/30/13,10737
LILLEZ,7/5/2013,10/5/2013,10738
HILDEZ,4/30/13,3/5/2013,10739
LACINI,4/28/13,1/5/2013,10740
FISOEL,4/27/13,4/30/13,10741
SPEIER,7/5/2013,10/5/2013,10742
GALDRA,7/5/2013,10/5/2013,10743
LINRDO,4/25/13,4/28/13,10744
LONSON,4/25/13,4/28/13,10745
CENANG,4/29/13,2/5/2013,10746
BLOAUX,2/5/2013,5/5/2013,10747
PICPPS,4/25/13,4/28/13,10748
MAGLLI,6/5/2013,9/5/2013,10749
PERDEZ,5/5/2013,8/5/2013,10750
SEVMAR,4/29/13,2/5/2013,10751
TRAAGY,3/5/2013,6/5/2013,10752
OTTEIM,2/5/2013,5/5/2013,10753
QUIOSS,7/5/2013,10/5/2013,10754
GREDER,4/23/13,4/26/13,10755
LETRES,4/28/13,1/5/2013,10756
MERERE,4/23/13,4/26/13,10757
LAZEEL,2/5/2013,5/5/2013,10758
SANSEN,4/24/13,4/27/13,10759
SAVTTI,7/5/2013,10/5/2013,10760
GODYRE,2/5/2013,5/5/2013,10761
SIMSEN,5/5/2013,8/5/2013,10762
WHISKI,4/30/13,3/5/2013,10763
FURUEZ,4/28/13,1/5/2013,10764
THEONG,7/5/2013,10/5/2013,10765
THEXON,7/5/2013,10/5/2013,10766
GROIRA,4/24/13,4/27/13,10767
PARAND,4/23/13,4/26/13,10768
HANTES,1/5/2013,4/5/2013,10769
BOLMER,4/26/13,4/29/13,10770
WILNEN,1/5/2013,4/5/2013,10771
REGONI,5/5/2013,8/5/2013,10772
RICOLZ,1/5/2013,4/5/2013,10773
TORINO,4/5/2013,7/5/2013,10774
VAFSEN,3/5/2013,6/5/2013,10775
FRARTI,4/23/13,4/26/13,10776
SUPAIN,4/30/13,3/5/2013,10777
CACSON,3/5/2013,6/5/2013,10778
VINIOT,2/5/2013,5/5/2013,10779
COMNSO,4/26/13,4/29/13,10780
FRAKEN,6/5/2013,9/5/2013,10781
KOEMER,4/27/13,4/30/13,10782
WARALO,1/5/2013,4/5/2013,10783
OLDIPS,5/5/2013,8/5/2013,10784
ERNDEL,4/23/13,4/26/13,10785
RANREZ,2/5/2013,5/5/2013,10786
NORHER,4/25/13,4/28/13,10787
DRAIEB,6/5/2013,9/5/2013,10788
ARORDY,6/5/2013,9/5/2013,10789
CHOANG,4/25/13,4/28/13,10790
HUNMER,2/5/2013,5/5/2013,10791
LAUURI,4/25/13,4/28/13,10792
WOLICZ,1/5/2013,4/5/2013,10793
ROMINO,4/25/13,4/28/13,10794
ANALLO,4/5/2013,7/5/2013,10795
TRAUES,4/28/13,1/5/2013,10796
LAMLET,4/25/13,4/28/13,10797
FAMRUZ,4/28/13,1/5/2013,10798
FRAITT,4/28/13,1/5/2013,10799
MAIWEY,1/5/2013,4/5/2013,10800
BERUND,4/30/13,3/5/2013,10801
CONOWN,4/23/13,4/26/13,10802
BOTOLN,6/5/2013,9/5/2013,10803
BLAOOS,4/25/13,4/28/13,10804
ISLETT,4/28/13,1/5/2013,10805
PRITRO,7/5/2013,10/5/2013,10806
RICIRA,4/24/13,4/27/13,10807
DUMUNE,4/28/13,1/5/2013,10808
TOMPHS,6/5/2013,9/5/2013,10809
BONHAN,4/28/13,1/5/2013,10810
QUELHO,2/5/2013,5/5/2013,10811
ALFERS,3/5/2013,6/5/2013,10812
FOLSON,4/23/13,4/26/13,10813
FOLNCE,4/26/13,4/29/13,10814
VICLEY,4/27/13,4/30/13,10815
HUNNNA,1/5/2013,4/5/2013,10816
WELNTE,2/5/2013,5/5/2013,10817
RATSON,2/5/2013,5/5/2013,10818
LEHNER,4/28/13,1/5/2013,10819
WANLER,5/5/2013,8/5/2013,10820
BSBRTH,4/28/13,1/5/2013,10821
OCEADA,6/5/2013,9/5/2013,10822
MORUER,4/23/13,4/26/13,10823
GOUECA,4/30/13,3/5/2013,10824
EASVON,1/5/2013,4/5/2013,10825
ANTENO,4/26/13,4/29/13,10826
SPLGER,4/5/2013,7/5/2013,10827
QUESTA,4/26/13,4/29/13,10828
LILLEZ,4/26/13,4/29/13,10829
HILDEZ,1/5/2013,4/5/2013,10830
LACINI,1/5/2013,4/5/2013,10831
FISOEL,5/5/2013,8/5/2013,10832
SPEIER,4/5/2013,7/5/2013,10833
GALDRA,4/29/13,2/5/2013,10834
LINRDO,4/5/2013,7/5/2013,10835
LONSON,6/5/2013,9/5/2013,10836
CENANG,4/26/13,4/29/13,10837
BLOAUX,4/5/2013,7/5/2013,10838
PICPPS,4/28/13,1/5/2013,10839
MAGLLI,1/5/2013,4/5/2013,10840
PERDEZ,1/5/2013,4/5/2013,10841
SEVMAR,7/5/2013,10/5/2013,10842
TRAAGY,4/25/13,4/28/13,10843
OTTEIM,7/5/2013,10/5/2013,10844
QUIOSS,3/5/2013,6/5/2013,10845
GREDER,4/5/2013,7/5/2013,10846
LETRES,4/30/13,3/5/2013,10847
MERERE,4/29/13,2/5/2013,10848
LAZEEL,2/5/2013,5/5/2013,10849
SANSEN,7/5/2013,10/5/2013,10850
SAVTTI,4/26/13,4/29/13,10851
GODYRE,1/5/2013,4/5/2013,10852
SIMSEN,4/26/13,4/29/13,10853
WHISKI,1/5/2013,4/5/2013,10854
FURUEZ,5/5/2013,8/5/2013,10855
THEONG,2/5/2013,5/5/2013,10856
THEXON,2/5/2013,5/5/2013,10857
GROIRA,4/25/13,4/28/13,10858
PARAND,2/5/2013,5/5/2013,10859
HANTES,4/24/13,4/27/13,10860
BOLMER,5/5/2013,8/5/2013,10861
WILNEN,6/5/2013,9/5/2013,10862
REGONI,4/30/13,3/5/2013,10863
RICOLZ,4/30/13,3/5/2013,10864
TORINO,4/23/13,4/26/13,10865
VAFSEN,4/24/13,4/27/13,10866
FRARTI,4/25/13,4/28/13,10867
SUPAIN,4/29/13,2/5/2013,10868
CACSON,7/5/2013,10/5/2013,10869
VINIOT,7/5/2013,10/5/2013,10870
COMNSO,4/29/13,2/5/2013,10871
FRAKEN,4/26/13,4/29/13,10872
KOEMER,2/5/2013,5/5/2013,10873
